Version,PartPrefix,PartBase,PartSuffix,PartRouteNumber,PartRouteStage,TriggerType,Strategy,TagID,ProductionDate,OutOfProductionDate,GeneralInstructions,PlacardInstructions,ExternalSegments,OverShipmentsAllowed,PartialShipmentsAllowed,RequiredDetailShipmentInformation,Hold,Archived,RequestPutAway
4.00.00v,CPLA,12A493,AG,24674,Production,Manual,ReorderPoint,,11/17/16 10:05:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,FPLA,12C536,AA,24680,Production,Manual,ReorderPoint,,11/17/16 12:36:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,DPLA,9137,AA,24681,Production,Manual,ReorderPoint,,11/17/16 12:19:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,FPLA,5H390,BC,24687,Production,Manual,ReorderPoint,,11/17/16 12:40:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,45367,AA,24689,Production,Manual,ReorderPoint,,11/17/16 10:45:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,FW93,6A373,AA,24701,Production,Manual,ReorderPoint,,11/26/16 22:15:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CH22,5K229,AB,24705,Production,Manual,ReorderPoint,,11/17/16 09:51:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,5H22,7N840,AA,24708,Production,Manual,ReorderPoint,,11/17/16 09:13:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,GX73,18K579,EC,24710,Production,Manual,ReorderPoint,,09/05/2018 17:39,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CH22,5K229,BA,24711,Production,Manual,ReorderPoint,,11/17/16 12:35:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,9X23,6N081,AB,24715,Production,Manual,ReorderPoint,,11/26/16 08:00:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4.00.00v,CPLA,8B273,CC,24717,Production,Manual,ReorderPoint,,11/17/16 11:33:00,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
